phone_number,name,village,crop,quantity_quintals,slot_time,token_no,status
+919812012301,Ram Singh,Gharaunda,Wheat,45.0,06:00 AM - 08:00 AM,TKN-20260911-001,SERVED
+919812012302,Harpreet Singh,Samana,Paddy,60.0,06:00 AM - 08:00 AM,TKN-20260911-002,SERVED
+919812012303,Baldev Raj,Indri,Wheat,50.0,06:00 AM - 08:00 AM,TKN-20260911-003,SERVED
+919812012304,Gurpreet Singh,Nabha,Mustard,35.0,06:00 AM - 08:00 AM,TKN-20260911-004,SERVED
+919812012305,Ramesh Kumar,Nilokheri,Wheat,55.0,06:00 AM - 08:00 AM,TKN-20260911-005,SERVED
+919812012306,Suresh Chand,Taraori,Wheat,40.0,06:00 AM - 08:00 AM,TKN-20260911-006,NO_SHOW
+919812012307,Satpal Sharma,Assandh,Wheat,70.0,08:00 AM - 10:00 AM,TKN-20260911-007,BOOKED
+919812012308,Jagdish Singh,Nissing,Paddy,65.0,08:00 AM - 10:00 AM,TKN-20260911-008,BOOKED
+919812012309,Kuldeep Kaur,Rajpura,Wheat,30.0,08:00 AM - 10:00 AM,TKN-20260911-009,BOOKED
+919812012310,Devinder Singh,Pehowa,Mustard,40.0,08:00 AM - 10:00 AM,TKN-20260911-010,BOOKED
+919812012311,Lakhwinder Singh,Cheeka,Paddy,80.0,08:00 AM - 10:00 AM,TKN-20260911-011,BOOKED
+919812012312,Manjit Singh,Shahbad,Wheat,50.0,08:00 AM - 10:00 AM,TKN-20260911-012,BOOKED
+919812012313,Surinder Kumar,Babain,Cotton,25.0,08:00 AM - 10:00 AM,TKN-20260911-013,BOOKED
+919812012314,Rajender Prasad,Amin,Wheat,45.0,08:00 AM - 10:00 AM,TKN-20260911-014,BOOKED
+919812012315,Vikram Singh,Pundri,Wheat,60.0,10:00 AM - 12:00 PM,TKN-20260911-015,BOOKED
+919812012316,Jasbir Singh,Samana,Paddy,75.0,10:00 AM - 12:00 PM,TKN-20260911-016,BOOKED
+919812012317,Naresh Kumar,Gharaunda,Mustard,35.0,10:00 AM - 12:00 PM,TKN-20260911-017,BOOKED
+919812012318,Om Prakash,Indri,Wheat,50.0,10:00 AM - 12:00 PM,TKN-20260911-018,BOOKED
+919812012319,Dharamvir,Nilokheri,Cotton,30.0,10:00 AM - 12:00 PM,TKN-20260911-019,BOOKED
+919812012320,Gian Chand,Taraori,Wheat,55.0,10:00 AM - 12:00 PM,TKN-20260911-020,BOOKED
+919812012321,Amarjeet Singh,Nabha,Paddy,70.0,10:00 AM - 12:00 PM,TKN-20260911-021,BOOKED
+919812012322,Mahipal Sharma,Assandh,Wheat,40.0,12:00 PM - 02:00 PM,TKN-20260911-022,BOOKED
+919812012323,Balwant Singh,Nissing,Paddy,65.0,12:00 PM - 02:00 PM,TKN-20260911-023,BOOKED
+919812012324,Sukhwinder Singh,Rajpura,Wheat,50.0,12:00 PM - 02:00 PM,TKN-20260911-024,BOOKED
+919812012325,Tek Chand,Pehowa,Mustard,45.0,12:00 PM - 02:00 PM,TKN-20260911-025,BOOKED
+919812012326,Krishan Lal,Cheeka,Wheat,55.0,12:00 PM - 02:00 PM,TKN-20260911-026,BOOKED
+919812012327,Shamsher Singh,Shahbad,Paddy,80.0,02:00 PM - 04:00 PM,TKN-20260911-027,BOOKED
+919812012328,Mohinder Pal,Babain,Wheat,35.0,02:00 PM - 04:00 PM,TKN-20260911-028,BOOKED
+919812012329,Rohtash Kumar,Amin,Cotton,28.0,02:00 PM - 04:00 PM,TKN-20260911-029,BOOKED
+919812012330,Mahender Singh,Pundri,Wheat,60.0,02:00 PM - 04:00 PM,TKN-20260911-030,BOOKED
